Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
STL,28,82,45,28,9,99,0.604,244,220,0.28,-0.01,2.98,2.68,50,237,21.1,43,232,81.47,5,7,2604,9.4,2345,0.906,100.2,9,51.5
BOS,28.7,82,49,24,9,107,0.652,257,212,0.52,-0.01,3.13,2.59,65,251,25.9,49,244,79.92,7,15,2680,9.6,2416,0.912,100.4,9,53.1
SJS,29.4,82,46,27,9,101,0.616,289,258,0.3,-0.04,3.52,3.15,57,241,23.65,45,234,80.77,9,9,2708,10.7,2323,0.889,98.9,5,54.9
CAR,26.8,82,46,29,7,99,0.604,243,221,0.26,-0.01,2.96,2.7,44,247,17.81,44,239,81.59,8,8,2822,8.6,2343,0.906,99.4,6,54.8
