Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
WSH,28.4,82,49,26,7,105,0.64,256,238,0.21,-0.04,3.12,2.9,55,244,22.54,53,269,80.3,4,8,2379,10.8,2613,0.909,101.4,3,48
VGK,28,82,51,24,7,109,0.665,268,225,0.52,-0.01,3.27,2.74,53,248,21.37,44,237,81.43,8,5,2686,10,2521,0.911,100.5,5,50.9
WPG,26.8,82,52,20,10,114,0.695,273,216,0.74,0.02,3.33,2.63,64,274,23.36,50,274,81.75,9,7,2643,10.3,2613,0.917,101,7,51.5
TBL,27.5,82,54,23,5,113,0.689,290,234,0.66,-0.07,3.54,2.85,66,276,23.91,64,267,76.03,9,3,2680,10.8,2683,0.913,102,8,51.6
