Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
TBL,27.7,70,43,21,6,92,0.657,243,194,0.71,0,3.47,2.77,49,211,23.22,43,231,81.39,6,7,2176,11.2,2165,0.91,101.9,4,52.2
DAL,29.4,69,37,24,8,82,0.594,178,174,0.09,0.05,2.58,2.52,42,199,21.11,44,217,79.72,5,4,2113,8.4,2177,0.92,99.9,2,49.5
VGK,29.2,71,39,24,8,86,0.606,224,209,0.21,-0.02,3.15,2.94,42,191,21.99,50,214,76.64,9,3,2450,9.1,2082,0.9,99,6,54.8
NYI,28.8,68,35,23,10,80,0.588,189,190,0.01,0.02,2.78,2.79,29,168,17.26,34,176,80.68,6,5,2016,9.4,2123,0.911,100.3,3,46.5
