Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
PIT,28.7,82,50,21,11,111,0.677,278,229,0.59,0.01,3.39,2.79,60,260,23.08,52,257,79.77,5,7,2745,10.1,2671,0.914,101,5,50.1
NSH,27.9,82,41,29,12,94,0.573,238,220,0.16,-0.04,2.9,2.68,49,259,18.92,46,241,80.91,12,6,2557,9.3,2472,0.911,100.4,4,51.4
ANA,27.6,82,46,23,13,105,0.64,220,197,0.24,-0.04,2.68,2.4,47,251,18.73,43,281,84.7,9,7,2425,9.1,2429,0.919,100.7,8,49.7
OTT,28.8,82,44,28,10,98,0.598,206,210,-0.01,0.01,2.51,2.56,43,254,16.93,50,247,79.76,7,3,2463,8.4,2467,0.915,99.7,10,48.6
