Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
LAK,27.4,82,46,28,8,100,0.61,198,168,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,2595,7.6,2148,0.922,100.1,13,56.8
NYR,27.4,82,45,31,6,96,0.585,214,190,0.26,-0.04,2.61,2.32,48,264,18.18,34,232,85.34,10,7,2719,7.9,2412,0.921,99.8,8,52.4
MTL,28.3,82,46,28,8,100,0.61,209,201,0.08,-0.05,2.55,2.45,48,279,17.2,43,289,85.12,6,8,2330,9,2541,0.921,100.5,8,46.7
CHI,27.5,82,46,21,15,107,0.652,261,212,0.6,0.02,3.18,2.59,50,257,19.46,46,248,81.45,9,6,2715,9.6,2229,0.905,99.9,3,55.5
