Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
COL,28.2,82,56,19,7,119,0.726,308,232,0.91,-0.04,3.76,2.83,67,279,24.01,48,236,79.66,6,5,2874,10.7,2625,0.912,101.2,7,53
TBL,29.6,82,51,23,8,110,0.671,285,228,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,2535,11.2,2441,0.907,101.4,3,50.9
NYR,26.7,82,52,24,6,110,0.671,250,204,0.54,-0.03,3.05,2.49,55,218,25.23,40,226,82.3,8,2,2392,10.5,2528,0.919,101,9,47.1
EDM,29.1,82,49,27,6,104,0.634,285,251,0.46,0,3.48,3.06,61,235,25.96,52,252,79.37,11,6,2790,10.2,2647,0.905,99.9,4,52.5
