Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
TBL,28.4,56,36,17,3,75,0.67,180,145,0.53,-0.08,3.21,2.59,40,180,22.22,29,183,84.15,3,3,1692,10.6,1583,0.908,100.8,6,52.4
MTL,28.9,56,24,21,11,59,0.527,158,165,-0.14,0.02,2.82,2.95,29,151,19.21,37,172,78.49,9,2,1746,9,1579,0.896,99,1,54.4
VGK,29.2,56,40,14,2,82,0.732,190,122,1.05,-0.15,3.39,2.18,31,174,17.82,19,144,86.81,4,2,1829,10.4,1527,0.92,101.6,7,53.4
NYI,29.2,56,32,17,7,71,0.634,152,125,0.44,-0.06,2.71,2.23,27,144,18.75,22,135,83.7,4,0,1623,9.4,1590,0.921,101.4,10,48.6
