Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
CHI,26.8,48,36,7,5,77,0.802,149,97,1.04,-0.07,3.1,2.02,25,150,16.67,18,141,87.23,5,5,1494,10,1258,0.923,101.7,7,54.1
BOS,27.8,48,28,14,6,62,0.646,127,106,0.44,-0.02,2.65,2.21,18,122,14.75,21,163,87.12,5,2,1557,8.2,1373,0.923,100.5,6,54.3
LAK,26.5,48,27,16,5,59,0.615,131,114,0.29,-0.02,2.73,2.38,33,166,19.88,27,161,83.23,2,1,1431,9.2,1198,0.905,99.2,2,56.3
PIT,29,48,36,12,0,72,0.75,162,119,0.91,-0.05,3.38,2.48,42,170,24.71,34,167,79.64,2,3,1438,11.3,1403,0.915,102.5,5,49
