Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,CF%
CHI,29.3,82,48,28,6,102,0.622,220,186,0.51,0.02,2.68,2.27,46,260,17.69,35,211,83.41,3,7,2777,7.9,2477,0.925,100.3,5,53.6
TBL,26.9,82,50,24,8,108,0.659,259,206,0.57,-0.06,3.16,2.51,53,282,18.79,42,257,83.66,7,6,2428,10.7,2287,0.91,100.8,5,52.6
NYR,29.4,82,53,22,7,113,0.689,248,187,0.69,-0.04,3.02,2.28,39,232,16.81,37,235,84.26,9,6,2582,9.6,2418,0.923,101.7,11,49.5
ANA,27,82,51,24,7,109,0.665,228,221,0.1,-0.03,2.78,2.7,37,236,15.68,52,274,81.02,9,6,2458,9.3,2367,0.907,100.2,4,51.3
